O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name
3,PRAFUL PANSHERIYA,Bharatiya Janata Party,185204,381,185585,56.07,Gujarat-Kamrej -158
4,KHUSHWAH SUMANBEN RAVEEBHAI,Sardar Vallabhbhai Patel Party,901,0,901,0.27,Gujarat-Kamrej -158
5,DR. DINESHBHAI CHHAGANBHAI DHAMELIYA,Real Democracy Party,729,2,731,0.22,Gujarat-Kamrej -158
6,RAM DHADUK,Aam Aadmi Party,110501,387,110888,33.5,Gujarat-Kamrej -158
7,HEMENDRASINH RATHOD,Bhartiya Tribal Party,1387,5,1392,0.42,Gujarat-Kamrej -158
8,VIRADIYA PIYUSH HASMUKHBHAI,Independent,575,0,575,0.17,Gujarat-Kamrej -158
9,NOTA,None of the Above,2278,13,2291,0.69,Gujarat-Kamrej -158
1,ABDULSAMAD  ABDULMAJID MUNSHI,Bahujan Samaj Party,544,0,544,0.39,Gujarat-Surat East -159
2,ARVIND SHANTILAL RANA,Bharatiya Janata Party,73014,128,73142,52.45,Gujarat-Surat East -159
3,ASLAM FIROZBHAI CYCLEWALA,Indian National Congress,59072,53,59125,42.4,Gujarat-Surat East -159
4,KARIMKHAN RAHIMKHAN PATHAN,Bharatiya Bahujan Congress,604,0,604,0.43,Gujarat-Surat East -159
5,MANSUR AHMAD CHASHMAWALA,Samajwadi Party,1015,0,1015,0.73,Gujarat-Surat East -159
6,WASIM IKBALBHAI KHOKAR (KURESHI),All India Majlis-E-Ittehadul Muslimeen,1671,0,1671,1.2,Gujarat-Surat East -159
7,IBRAHIM YAKUB NAGORI,Independent,106,0,106,0.08,Gujarat-Surat East -159
8,KHER PARESH ANANDBHAI,Independent,667,1,668,0.48,Gujarat-Surat East -159
9,NURUBHAI SHAKURBHAI SHAIKH,Independent,59,0,59,0.04,Gujarat-Surat East -159
10,PATEL MINHAJ YUNUSBHAI,Independent,121,1,122,0.09,Gujarat-Surat East -159
11,PATHAN RIYAZKHAN ABDULKHAN,Independent,67,1,68,0.05,Gujarat-Surat East -159
12,MOHAMAD FAIZ MOHAMAD FARUQ MULLA,Independent,155,0,155,0.11,Gujarat-Surat East -159
13,SHAHABUDIN JAINUDIN MALBARI,Independent,476,0,476,0.34,Gujarat-Surat East -159
14,SAMIR FAKRUDDIN SHAIKH,Independent,211,0,211,0.15,Gujarat-Surat East -159
15,NOTA,None of the Above,1482,12,1494,1.07,Gujarat-Surat East -159
1,ACHCHHA SAEEDBHAI YUSUFBHAI,Bahujan Samaj Party,342,0,342,0.35,Gujarat-Surat North -160
2,ASHOK PATEL (ADHEVADA),Indian National Congress,14846,8,14854,15.37,Gujarat-Surat North -160
3,KANTIBHAI HIMMATBHAI BALAR,Bharatiya Janata Party,57048,69,57117,59.1,Gujarat-Surat North -160
4,ANISH AHMAD MORISWALA,Log Party,231,1,232,0.24,Gujarat-Surat North -160
5,MAHENDRA NAVADIYA,Aam Aadmi Party,22786,38,22824,23.62,Gujarat-Surat North -160
6,AARJUBI RAUF SHAH,Independent,125,0,125,0.13,Gujarat-Surat North -160
