O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name
2,Gopal D. Patil,Indian National Congress,29407,29,29436,16.44,Gujarat-Limbayat -163
3,Bharatbhai B. Patel,Communist Party of India  (Marxist),538,2,540,0.3,Gujarat-Limbayat -163
4,Sangitaben Rajendra Patil,Bharatiya Janata Party,95515,181,95696,53.44,Gujarat-Limbayat -163
5,Abdul Bashir Shaikh,All India Majlis-E-Ittehadul Muslimeen,5215,1,5216,2.91,Gujarat-Limbayat -163
6,Pankajbhai Tayade,Aam Aadmi Party,37545,142,37687,21.05,Gujarat-Limbayat -163
7,Ramzan Mansuri (Varisht Partrakar),Log Party,139,0,139,0.08,Gujarat-Limbayat -163
8,Rani Aziz Shaikh,Rashtriya Samaj Paksha,136,0,136,0.08,Gujarat-Limbayat -163
9,Ram Murat Maurya (Comrade),SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),181,1,182,0.1,Gujarat-Limbayat -163
10,Shaikh Subhan Abudulla,Samajwadi Party,249,0,249,0.14,Gujarat-Limbayat -163
11,Akram Vahidulla Ansari,Independent,242,3,245,0.14,Gujarat-Limbayat -163
12,Azim Saiyad,Independent,153,0,153,0.09,Gujarat-Limbayat -163
13,Anishaben Kureshi,Independent,868,2,870,0.49,Gujarat-Limbayat -163
14,Arun Pathak (Gabbar),Independent,139,0,139,0.08,Gujarat-Limbayat -163
15,Imrankhan Shokat Khan,Independent,279,0,279,0.16,Gujarat-Limbayat -163
16,IrfanKhan Pathan,Independent,733,0,733,0.41,Gujarat-Limbayat -163
17,Khalik Yusuf Shaikh,Independent,254,0,254,0.14,Gujarat-Limbayat -163
18,Javid Shaikh,Independent,244,0,244,0.14,Gujarat-Limbayat -163
19,Nasrinbano Shaikh,Independent,176,0,176,0.1,Gujarat-Limbayat -163
20,Nasirshaha Naththushaha,Independent,270,0,270,0.15,Gujarat-Limbayat -163
21,Patel Aamin Abdul Ghafar,Independent,147,0,147,0.08,Gujarat-Limbayat -163
22,Pathan BashirKhan,Independent,216,0,216,0.12,Gujarat-Limbayat -163
23,Faruk Khan,Independent,77,0,77,0.04,Gujarat-Limbayat -163
24,FARUKHASHA SHABBIRSHA,Independent,84,0,84,0.05,Gujarat-Limbayat -163
25,Mohammad Nafis Islam Khan,Independent,74,0,74,0.04,Gujarat-Limbayat -163
26,Mohshin Shah,Independent,60,0,60,0.03,Gujarat-Limbayat -163
27,Ramjubhai Shaikh,Independent,90,0,90,0.05,Gujarat-Limbayat -163
28,Rashid Dadamiya Shaikh,Independent,74,0,74,0.04,Gujarat-Limbayat -163
29,Raybole Panjab,Independent,144,0,144,0.08,Gujarat-Limbayat -163
30,Rekhaben Satishbhai Patel,Independent,113,0,113,0.06,Gujarat-Limbayat -163
31,Wasim Karim Shaikh,Independent,950,0,950,0.53,Gujarat-Limbayat -163
32,Vasim Shaikh,Independent,255,0,255,0.14,Gujarat-Limbayat -163
33,Sami Akhtar Isaf Mohammad Shaikh,Independent,239,0,239,0.13,Gujarat-Limbayat -163
34,Shah Aiyub,Independent,183,0,183,0.1,Gujarat-Limbayat -163
35,Shah Firoj Supadubhai,Independent,128,0,128,0.07,Gujarat-Limbayat -163
36,SHAH SAMIR SHAIKHLAL,Independent,312,0,312,0.17,Gujarat-Limbayat -163
37,Shaikh Yusuf,Independent,100,0,100,0.06,Gujarat-Limbayat -163
38,Shaikh Salman,Independent,159,0,159,0.09,Gujarat-Limbayat -163
39,Sabirabibi  Mohammad Yusuf Shaikh,Independent,269,0,269,0.15,Gujarat-Limbayat -163
40,Sayarabanu Hamid Rana,Independent,113,0,113,0.06,Gujarat-Limbayat -163
41,Saiyad Mehmud,Independent,148,0,148,0.08,Gujarat-Limbayat -163
42,Saiyad Suraiya Latif,Independent,87,0,87,0.05,Gujarat-Limbayat -163
43,Hameed Madhavsang Rana,Independent,227,0,227,0.13,Gujarat-Limbayat -163
44,Hamid Shaikh,Independent,123,0,123,0.07,Gujarat-Limbayat -163
45,NOTA,None of the Above,1057,12,1069,0.6,Gujarat-Limbayat -163
1,DHANSUKHBHAI  BHAGVATIPRASAD RAJPUT,Indian National Congress,24070,33,24103,16.19,Gujarat-Udhna -164
2,MANUBHAI M. PATEL (FOGWA),Bharatiya Janata Party,93863,136,93999,63.16,Gujarat-Udhna -164
3,SURESH MOHAN SONVANE,Bahujan Samaj Party,5420,14,5434,3.65,Gujarat-Udhna -164
4,PATHAN BADSHAHKHAN ALTAFKHAN,Bharatiya Bahujan Congress,306,0,306,0.21,Gujarat-Udhna -164
5,MAHENDRABHAI RAVANBHAI PATIL,Aam Aadmi Party,21634,107,21741,14.61,Gujarat-Udhna -164
6,ASHABEN VINODBHAI  MANGALE,Independent,475,1,476,0.32,Gujarat-Udhna -164
7,EJAZ ASLAMBHAI MISTRY,Independent,183,0,183,0.12,Gujarat-Udhna -164
8,FAIMIDA YUNUS SHAIKH,Independent,194,1,195,0.13,Gujarat-Udhna -164
9,MOHAMMAD  BALDAR SHAH,Independent,281,0,281,0.19,Gujarat-Udhna -164
10,SHAIKH IQBAL HAMID,Independent,292,1,293,0.2,Gujarat-Udhna -164
11,NOTA,None of the Above,1815,5,1820,1.22,Gujarat-Udhna -164
1,BALWANT SHANTILAL JAIN,Indian National Congress,9410,37,9447,5.81,Gujarat-Majura -165
2,RAMESHPRASAD KASHIRAM CHAMAR,Bahujan Samaj Party,902,2,904,0.56,Gujarat-Majura -165
3,HARSH RAMESH SANGHVI,Bharatiya Janata Party,132978,357,133335,81.97,Gujarat-Majura -165
4,P V S SARMA,Aam Aadmi Party,16399,261,16660,10.24,Gujarat-Majura -165
5,NOTA,None of the Above,2297,18,2315,1.42,Gujarat-Majura -165
1,AMITKUMAR BIKARAM SINGH,Bahujan Samaj Party,620,0,620,0.3,Gujarat-Katargam -166
2,VARIYA KALPESH HARJIVANBHAI,Indian National Congress,26807,33,26840,12.97,Gujarat-Katargam -166
3,VINODBHAI AMARSHIBHAI MORADIYA,Bharatiya Janata Party,120342,163,120505,58.25,Gujarat-Katargam -166
4,AMARKUMAR SURESHBHAI LAVNE,Sarvodaya Bharat Party,588,1,589,0.28,Gujarat-Katargam -166
5,GOPAL ITALIA,Aam Aadmi Party,55713,165,55878,27.01,Gujarat-Katargam -166
6,AKBAR LIYAKAT SHAHFAKIR,Independent,302,0,302,0.15,Gujarat-Katargam -166
7,BAPUBHAI NANABHAI KHALANE,Independent,288,0,288,0.14,Gujarat-Katargam -166
8,SARAKAR RAJUBHAI LAKHABHAI,Independent,318,0,318,0.15,Gujarat-Katargam -166
9,NOTA,None of the Above,1521,8,1529,0.74,Gujarat-Katargam -166
1,PURNESH MODI,Bharatiya Janata Party,122464,517,122981,75.73,Gujarat-Surat West -167
2,VIMAL RAJU UTTPURE,Bahujan Samaj Party,452,2,454,0.28,Gujarat-Surat West -167
3,SANJAY R. SHAH (PATVA),Indian National Congress,18607,62,18669,11.5,Gujarat-Surat West -167
4,MOHAMMED ZAKIR NIZAMUDDIN SHAIKH,Samajwadi Party,300,1,301,0.19,Gujarat-Surat West -167
5,MOXESH RAMESHCHANDRA SANGHAVI,Aam Aadmi Party,16780,175,16955,10.44,Gujarat-Surat West -167
6,AMISH NARAYANBHAI CHUNAWALA,Independent,141,0,141,0.09,Gujarat-Surat West -167
7,KAMALSHAH FAKIR,Independent,84,1,85,0.05,Gujarat-Surat West -167
8,FARZAN ALLARAKHA MEMAN,Independent,115,0,115,0.07,Gujarat-Surat West -167
9,MOHAMMAD UMARJI KHADAKIWALA,Independent,126,0,126,0.08,Gujarat-Surat West -167
10,MOHAMAD ASFAQ IQBAL SHEKH,Independent,130,0,130,0.08,Gujarat-Surat West -167
11,NOTA,None of the Above,2415,26,2441,1.5,Gujarat-Surat West -167
1,KANTILAL NANUBHAI PATEL,Indian National Congress,25761,79,25840,8.01,Gujarat-Choryasi -168
2,MALKHAN RAMKISHOR VARMA,Bahujan Samaj Party,2058,3,2061,0.64,Gujarat-Choryasi -168
3,SANDIP DESAI,Bharatiya Janata Party,235374,659,236033,73.12,Gujarat-Choryasi -168
4,CHAVADA HITESHBHAI,Sarvodaya Bharat Party,1060,0,1060,0.33,Gujarat-Choryasi -168
5,JUBER KASHIM ANSARI,Samajwadi Party,774,0,774,0.24,Gujarat-Choryasi -168
6,PRAKASHBHAI VINODBHAI CONTRACTOR,Aam Aadmi Party,49245,370,49615,15.37,Gujarat-Choryasi -168
7,PRAJAPATI ROSHANLAL PYARELAL,National Maha Sabha Party,621,0,621,0.19,Gujarat-Choryasi -168
8,MANSURI AAISHA,Log Party,228,0,228,0.07,Gujarat-Choryasi -168
9,RABARI MOTIBHAI VARSHIBHAI,Rashtriya Samaj Paksha,501,0,501,0.16,Gujarat-Choryasi -168
10,VASAVA VINODKUMAR,Gana Suraksha Party,538,3,541,0.17,Gujarat-Choryasi -168
11,ARUN PATHAK (GABBAR),Independent,315,3,318,0.1,Gujarat-Choryasi -168
12,SHEKH SHERU,Independent,514,1,515,0.16,Gujarat-Choryasi -168
13,SATTAR PINJARI,Independent,509,0,509,0.16,Gujarat-Choryasi -168
14,NOTA,None of the Above,4140,29,4169,1.29,Gujarat-Choryasi -168
1,ISHVARBHAI ALIAS ANILBHAI RAMANBHAI PARMAR,Bharatiya Janata Party,118140,387,118527,66.14,Gujarat-Bardoli -169
2,PANNABEN ANILBHAI PATEL,Indian National Congress,28478,101,28579,15.95,Gujarat-Bardoli -169
3,SUSHILABEN RAMESHBHAI WAGH,Bahujan Samaj Party,1092,1,1093,0.61,Gujarat-Bardoli -169
4,RAJENDRAPRASAD SOLANKI ALIAS RAJU MORTHANA,Aam Aadmi Party,24445,265,24710,13.79,Gujarat-Bardoli -169
5,RATHOD DINESHKUMAR LALLUBHAI,Independent,2070,4,2074,1.16,Gujarat-Bardoli -169
6,NOTA,None of the Above,4203,8,4211,2.35,Gujarat-Bardoli -169
1,GARASIYA HEMANGINI DIPAKKUMAR,Indian National Congress,49598,277,49875,29.34,Gujarat-Mahuva -170
2,MOHANBHAI DHANJIBHAI DHODIYA,Bharatiya Janata Party,81143,240,81383,47.88,Gujarat-Mahuva -170
3,KUNJANKUMAR RAMESHCHANDRA PATEL,Aam Aadmi Party,34924,667,35591,20.94,Gujarat-Mahuva -170
4,NOTA,None of the Above,3120,11,3131,1.84,Gujarat-Mahuva -170
1,KOKANI MOHANBHAI DHEDABHAI,Bharatiya Janata Party,69024,609,69633,40.67,Gujarat-Vyara -171
2,GAMIT PUNABHAI DHEDABHAI,Indian National Congress,45224,680,45904,26.81,Gujarat-Vyara -171
3,RAKESHBHAI SURESHBHAI GAMIT,Bahujan Samaj Party,1281,10,1291,0.75,Gujarat-Vyara -171
4,BIPINCHANDRA KHUSHALBHAI CHAUDHARI,Aam Aadmi Party,46264,1249,47513,27.75,Gujarat-Vyara -171
5,SUNILBHAI NAGAJIBHAI GAMIT,Bhartiya Tribal Party,1113,23,1136,0.66,Gujarat-Vyara -171
6,UMEDBHAI BHIMSINGBHAI GAMIT,Independent,738,12,750,0.44,Gujarat-Vyara -171
7,JIMIKUMAR RAJENBHAI PATEL,Independent,1196,22,1218,0.71,Gujarat-Vyara -171
8,NOTA,None of the Above,3756,23,3779,2.21,Gujarat-Vyara -171
1,DR.JAYRAMBHAI CHEMABHAI GAMIT,Bharatiya Janata Party,97109,352,97461,43.79,Gujarat-Nizar -172
2,SUNILBHAI RATANJIBHAI GAMIT,Indian National Congress,73882,419,74301,33.39,Gujarat-Nizar -172
3,ARVINDBHAI SINGABHAI GAMIT,Aam Aadmi Party,35025,756,35781,16.08,Gujarat-Nizar -172
4,SAMIRBHAI JANAKBHAI NAIK,Bhartiya Tribal Party,3592,15,3607,1.62,Gujarat-Nizar -172
5,MANISHBHAI PRAKASHBHAI VASAVA,Independent,5265,11,5276,2.37,Gujarat-Nizar -172
6,VINABHAI BABLABHAI GAMIT,Independent,1663,1,1664,0.75,Gujarat-Nizar -172
7,NOTA,None of the Above,4455,10,4465,2.01,Gujarat-Nizar -172
1,PATEL MUKESHBHAI CHANDARBHAI,Indian National Congress,42436,423,42859,32.58,Gujarat-Dangs -173
2,VIJAYBHAI RAMESHBHAI PATEL,Bharatiya Janata Party,62153,380,62533,47.54,Gujarat-Dangs -173
3,SANGITABEN MAHESHBHAI AHIRE,Bahujan Samaj Party,1459,9,1468,1.12,Gujarat-Dangs -173
4,GAMIT SUNILBHAI CHANDUBHAI,Aam Aadmi Party,20278,544,20822,15.83,Gujarat-Dangs -173
5,NILESHBHAI SHIVAJIBHAI ZAMBARE,Bhartiya Tribal Party,844,3,847,0.64,Gujarat-Dangs -173
6,AESTARBEN KESHARBHAI PAWAR,Independent,1100,3,1103,0.84,Gujarat-Dangs -173
7,NOTA,None of the Above,1902,8,1910,1.45,Gujarat-Dangs -173
1,R.C.PATEL,Bharatiya Janata Party,105921,323,106244,66.83,Gujarat-Jalalpore -174
2,RANJIT (MUNNABHAI) PANCHAL,Indian National Congress,37400,145,37545,23.62,Gujarat-Jalalpore -174
3,NAUSRKA MAHAMMAD SHAUKATALI,SOCIAL DEMOCRATIC PARTY OF INDIA,1241,0,1241,0.78,Gujarat-Jalalpore -174
4,PRADIPKUMAR (BANKWALA),Aam Aadmi Party,10167,229,10396,6.54,Gujarat-Jalalpore -174
5,NOTA,None of the Above,3534,15,3549,2.23,Gujarat-Jalalpore -174
1,Dipak Barot,Indian National Congress,34422,140,34562,20.91,Gujarat-Navsari -175
2,Desai Rakesh Gunvantbhai,Bharatiya Janata Party,106559,316,106875,64.65,Gujarat-Navsari -175
3,Mahendrakumar Solanki (Rakeshkumar),Bahujan Samaj Party,894,1,895,0.54,Gujarat-Navsari -175
4,Upeshkumar Mohanbhai Patel,Aam Aadmi Party,18131,304,18435,11.15,Gujarat-Navsari -175
5,Kalpanaben Percy Munshi,Independent,652,3,655,0.4,Gujarat-Navsari -175
6,Govindbhai Laxmanbhai Rathod,Independent,817,1,818,0.49,Gujarat-Navsari -175
7,NOTA,None of the Above,3048,16,3064,1.85,Gujarat-Navsari -175
1,Ashokbhai Lallubhai Patel (Karate),Indian National Congress,37702,248,37950,18.01,Gujarat-Gandevi -176
2,Nareshbhai  Maganbhai Patel,Bharatiya Janata Party,130531,585,131116,62.24,Gujarat-Gandevi -176
3,Pankajbhai Lallubhai Patel,Aam Aadmi Party,37248,570,37818,17.95,Gujarat-Gandevi -176
4,NOTA,None of the Above,3758,17,3775,1.79,Gujarat-Gandevi -176
1,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,122909,1568,124477,52.57,Gujarat-Bansda -177
2,PIYUSHKUMAR KANTILAL PATEL,Bharatiya Janata Party,88967,477,89444,37.78,Gujarat-Bansda -177
3,MANAKBHAI JATRUBHAI SANAKAR,Bahujan Samaj Party,1806,1,1807,0.76,Gujarat-Bansda -177
4,ALPESHKUMAR CHHOTUBHAI PATEL,Bahujan Republican  Socialist Party,1055,3,1058,0.45,Gujarat-Bansda -177
5,PANKAJBHAI CHANDUBHAI PATEL,Aam Aadmi Party,15848,330,16178,6.83,Gujarat-Bansda -177
6,NOTA,None of the Above,3795,8,3803,1.61,Gujarat-Bansda -177
1,Arvind Chhotubhai Patel,Bharatiya Janata Party,83250,294,83544,42.24,Gujarat-Dharampur -178
2,Kishanbhai V. Patel,Indian National Congress,33409,98,33507,16.94,Gujarat-Dharampur -178
3,Ratilal Vajirbhai Thakrya,Bahujan Samaj Party,1459,2,1461,0.74,Gujarat-Dharampur -178
4,Kamleshbhai Ghelabhai Patel,Aam Aadmi Party,49544,673,50217,25.39,Gujarat-Dharampur -178
5,Barat Anandbhai Dubiyabhai,Communist Party of India  (Marxist-Leninist)  (Liberation),890,0,890,0.45,Gujarat-Dharampur -178
6,Sureshbhai Ballubhai Patel,Bhartiya Tribal Party,881,1,882,0.45,Gujarat-Dharampur -178
7,Kalpesh  Patel,Independent,19410,80,19490,9.85,Gujarat-Dharampur -178
8,Ganvit Kalpeshbhai Maganbhai,Independent,1674,3,1677,0.85,Gujarat-Dharampur -178
9,Janubhai Dhakalbhai Kakad,Independent,1944,1,1945,0.98,Gujarat-Dharampur -178
10,NOTA,None of the Above,4178,11,4189,2.12,Gujarat-Dharampur -178
1,KAMALBHAI SHANTILAL PATEL,Indian National Congress,21404,118,21522,12.23,Gujarat-Valsad -179
2,BHARATBHAI KIKUBHAI PATEL,Bharatiya Janata Party,125809,514,126323,71.75,Gujarat-Valsad -179
3,KAMLESHBHAI  BHARATBHAI  YOGI,Samajwadi Party,804,3,807,0.46,Gujarat-Valsad -179
4,MAHESH VINAYAKRAY ACHARYA,Praja Vijay Paksh,781,38,819,0.47,Gujarat-Valsad -179
5,RAJESHBHAI THAKORBHAI GOHIL,Bharatiya Republican Paksha,333,2,335,0.19,Gujarat-Valsad -179
6,RAJESHBHAI MANGUBHAI PATEL,Aam Aadmi Party,22067,480,22547,12.81,Gujarat-Valsad -179
7,HEMANTKUMAR GOPALBHAI TANDEL,Rashtriya Samaj Paksha,877,3,880,0.5,Gujarat-Valsad -179
8,NOTA,None of the Above,2800,15,2815,1.6,Gujarat-Valsad -179
1,KANUBHAI MOHANLAL DESAI,Bharatiya Janata Party,121743,225,121968,73.43,Gujarat-Pardi -180
2,JAYSHREEBEN PATEL,Indian National Congress,24761,43,24804,14.93,Gujarat-Pardi -180
3,KETANBHAI KISHORBHAI PATEL,Aam Aadmi Party,15173,133,15306,9.22,Gujarat-Pardi -180
4,SANJAYBHAI PARSOTTAMBHAI PARMAR,Rashtriya Samaj Paksha,452,2,454,0.27,Gujarat-Pardi -180
5,PATEL NAVINKUMAR SHANKARBHAI,Independent,458,2,460,0.28,Gujarat-Pardi -180
6,PRAVINKUMAR BHOLAPRASAD SINGH,Independent,784,0,784,0.47,Gujarat-Pardi -180
7,NOTA,None of the Above,2314,2,2316,1.39,Gujarat-Pardi -180
1,Jitubhai Harjibhai Chaudhari,Bharatiya Janata Party,90667,332,90999,42.64,Gujarat-Kaprada -181
2,Vasantbhai Barjulbhai Patel,Indian National Congress,57863,168,58031,27.19,Gujarat-Kaprada -181
3,Vaichandbhai Lallubhai Patel,Bahujan Samaj Party,2538,7,2545,1.19,Gujarat-Kaprada -181
4,Gurav Kamleshbhai Shravanbhai,Communist Party of India  (Marxist-Leninist)  (Liberation),1460,4,1464,0.69,Gujarat-Kaprada -181
5,Jayendrabhai Laxmanbhai Ganvit,Aam Aadmi Party,52611,557,53168,24.92,Gujarat-Kaprada -181
6,Subhashbhai Radkabhai Patel,Rashtriya Samaj Paksha,1191,8,1199,0.56,Gujarat-Kaprada -181
7,Gaurangkumar Rameshbhai Patel,Independent,1962,2,1964,0.92,Gujarat-Kaprada -181
8,NOTA,None of the Above,4016,4,4020,1.88,Gujarat-Kaprada -181
1,NARESHBHAI VAJIRBHAI VADVI,Indian National Congress,45230,72,45302,26.15,Gujarat-Umbergaon -182
2,PATKAR RAMANLAL NANUBHAI,Bharatiya Janata Party,109896,192,110088,63.55,Gujarat-Umbergaon -182
3,BOCHAL HASMUKHBHAI RAMANBHAI,Communist Party of India  (Marxist),1777,1,1778,1.03,Gujarat-Umbergaon -182
4,ASHOKBHAI MOHANBHAI  PATEL,Aam Aadmi Party,10553,123,10676,6.16,Gujarat-Umbergaon -182
5,MOHANBHAI RAVIYABHAI KOHKERIYA,Communist Party of India  (Marxist-Leninist)  (Liberation),762,2,764,0.44,Gujarat-Umbergaon -182
6,VAGHAT RAVINDRABHAI SOMABHAI,Bhartiya Tribal Party,1856,2,1858,1.07,Gujarat-Umbergaon -182
7,NOTA,None of the Above,2768,4,2772,1.6,Gujarat-Umbergaon -182
