O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name,Rank,margin,Vidhan_Sabha
1,Keshaji Shivaji Chauhan,Bharatiya Janata Party,108560,563,109123,56.66,Gujarat-Deodar -14,1.0,38414.0,Deodar 
1,Jayantibhai Somabhai Patel (J.S. Patel),Bharatiya Janata Party,97708,436,98144,59.29,Gujarat-Mansa -37,1.0,39266.0,Mansa 
1,Ramanlal Ishwarlal Vora,Bharatiya Janata Party,113137,784,113921,55.16,Gujarat-Idar -28,1.0,39440.0,Idar 
3,Sanjay Sukhabhai Koradia,Bharatiya Janata Party,83767,849,84616,52.01,Gujarat-Junagadh -86,1.0,40256.0,Junagadh 
3,Chaitarbhai Damjibhai Vasava,Aam Aadmi Party,102402,1031,103433,55.87,Gujarat-Dediapada -149,1.0,40282.0,Dediapada 
1,Ishwarsinh Thakorbhai Patel,Bharatiya Janata Party,96012,393,96405,60.0,Gujarat-Ankleshwar -154,1.0,40441.0,Ankleshwar 
3,Yogesh R. Patel (Bapji),Bharatiya Janata Party,111226,633,111859,57.68,Gujarat-Anand -112,1.0,41623.0,Anand 
2,Jitendrabhai Savajibhai Vaghani (Jitu Vaghani),Bharatiya Janata Party,84713,475,85188,52.7,Gujarat-Bhavnagar West -105,1.0,41922.0,Bhavnagar West 
1,Pravinkumar Gordhanji Mali,Bharatiya Janata Party,97330,676,98006,45.51,Gujarat-Deesa -13,1.0,42647.0,Deesa 
2,Jaydrathsinhji Parmar,Bharatiya Janata Party,100002,751,100753,50.7,Gujarat-Halol -128,1.0,42705.0,Halol 
1,Alpesh Khodaji Thakor,Bharatiya Janata Party,133339,712,134051,54.59,Gujarat-Gandhinagar South -35,1.0,43064.0,Gandhinagar South 
4,Dr. Hasmukh Patel,Bharatiya Janata Party,93670,324,93994,58.98,Gujarat-Amraiwadi -50,1.0,43272.0,Amraiwadi 
2,Gautambhai Gopabhai Chauhan,Bharatiya Janata Party,89575,680,90255,57.62,Gujarat-Talaja -100,1.0,43306.0,Talaja 
