O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name,Rank
9,Baldevsinh Udesinh Parmar (B.U.),Independent,2127,8,2135,1.15,Gujarat-Umreth -111,7.0
12,Hidayatullakhan Fakirmahamadkhan Pathan,Independent,1740,1,1741,0.93,Gujarat-Umreth -111,8.0
11,Harshitkumar Ghanshyambhai Patel (Bhurabhai),Independent,1053,1,1054,0.57,Gujarat-Umreth -111,9.0
4,Vipulkumar A. Zala,Log Party,485,2,487,0.26,Gujarat-Umreth -111,10.0
10,Sadru U. Belim,Independent,320,0,320,0.17,Gujarat-Umreth -111,11.0
8,Najimkhan Fakirmahmnad Pathan,Independent,201,2,203,0.11,Gujarat-Umreth -111,12.0
7,Darji Ghanshyambhai Natvarbhai,Independent,197,0,197,0.11,Gujarat-Umreth -111,13.0
1,Kalubhai Chanabhai Rathod,Bharatiya Janata Party,95356,504,95860,56.46,Gujarat-Una -93,1.0
2,Vansh Punjabhai Bhimabhai,Indian National Congress,52015,319,52334,30.83,Gujarat-Una -93,2.0
6,Sejalben Mansukhbhai Khunt,Aam Aadmi Party,12727,195,12922,7.61,Gujarat-Una -93,3.0
11,Nota,None of the Above,3085,7,3092,1.82,Gujarat-Una -93,4.0
10,Vansh Balubhai Karshanbhai,Independent,1142,0,1142,0.67,Gujarat-Una -93,5.0
4,Panchabhai Bhayabhai Damaniya,Bharatiya Hitrakshak Party,1122,5,1127,0.66,Gujarat-Una -93,6.0
3,Ishwar Rambhai Solanki,Right to Recall Party,1074,4,1078,0.63,Gujarat-Una -93,7.0
9,Vala Bhanajibhai Khetabhai,Independent,803,3,806,0.47,Gujarat-Una -93,8.0
7,Gohil Mansinh Balubhai,Independent,680,7,687,0.4,Gujarat-Una -93,9.0
8,Nilesh Anilbhai Khorasee,Independent,367,2,369,0.22,Gujarat-Una -93,10.0
5,Shantilal Danabhai Kidecha,Rashtriya Samaj Dal (R),355,1,356,0.21,Gujarat-Una -93,11.0
2,Patel Kiritkumar Keshavlal (K K Patel),Bharatiya Janata Party,88066,495,88561,59.75,Gujarat-Unjha -21,1.0
