O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name,Rank
4,Bhemajibhai Patel,Aam Aadmi Party,1503,93,1596,0.7,Gujarat-Vav -7,7.0
1,Amit Thaker,Bharatiya Janata Party,127674,375,128049,56.18,Gujarat-Vejalpur -42,1.0
2,Rajendra Patel (Rajubhai Makaraba),Indian National Congress,68103,295,68398,30.01,Gujarat-Vejalpur -42,2.0
3,Kalpesh  Patel (Bholabhai),Aam Aadmi Party,21917,277,22194,9.74,Gujarat-Vejalpur -42,3.0
16,Nota,None of the Above,2871,19,2890,1.27,Gujarat-Vejalpur -42,4.0
14,Saiyed Pirhusen (Yasin Bapu),Independent,2306,9,2315,1.02,Gujarat-Vejalpur -42,5.0
4,Zainab Shaikh,All India Majlis-E-Ittehadul Muslimeen,2310,3,2313,1.01,Gujarat-Vejalpur -42,6.0
15,Solanki Vinodbhai (Savaj),Independent,372,1,373,0.16,Gujarat-Vejalpur -42,7.0
11,Mohamad Faruk Shaikh,Independent,275,0,275,0.12,Gujarat-Vejalpur -42,8.0
7,Shah Ankit,Bharatiya Yuva Jan Ekta Party,205,0,205,0.09,Gujarat-Vejalpur -42,9.0
10,Mansuri Suhana Ahemadbhai,Independent,185,1,186,0.08,Gujarat-Vejalpur -42,10.0
13,Sabiralikhan Sahebdalikhan Pathan,Independent,171,0,171,0.08,Gujarat-Vejalpur -42,11.0
6,Meman Muhammadhusen Abdullahbhai,SOCIAL DEMOCRATIC PARTY OF INDIA,140,0,140,0.06,Gujarat-Vejalpur -42,12.0
5,Parthiv Vijaykumar Dave,Right to Recall Party,132,0,132,0.06,Gujarat-Vejalpur -42,13.0
12,Shaikh Arif (Fauji),Independent,129,0,129,0.06,Gujarat-Vejalpur -42,14.0
9,Tanveeruddin Ilmuddin Shaikh,Independent,96,1,97,0.04,Gujarat-Vejalpur -42,15.0
8,Shaikh Shaukatali Abdulkarim,Jan Sewa Driver Party,76,0,76,0.03,Gujarat-Vejalpur -42,16.0
1,Dr. C. J. Chavda,Indian National Congress,77806,943,78749,49.52,Gujarat-Vijapur -26,1.0
2,Ramanbhai D. Patel(Starline),Bharatiya Janata Party,70954,742,71696,45.08,Gujarat-Vijapur -26,2.0
4,Chiragbhai Patel(K.K.Group),Aam Aadmi Party,4760,259,5019,3.16,Gujarat-Vijapur -26,3.0
8,Nota,None of the Above,2048,11,2059,1.29,Gujarat-Vijapur -26,4.0
3,Urvashiben Dipakbhai Patel,Rashtriya Hind Ekta Dal,552,0,552,0.35,Gujarat-Vijapur -26,5.0
7,Parmar Ajitkumar Hamirji,Independent,511,0,511,0.32,Gujarat-Vijapur -26,6.0
6,Chaudhari Shankarbhai Devjibhai,Independent,265,2,267,0.17,Gujarat-Vijapur -26,7.0
5,Ujaskumar Rameshbhai Patel,Independent,183,0,183,0.12,Gujarat-Vijapur -26,8.0
1,Patel Hardik Bharatbhai,Bharatiya Janata Party,98627,528,99155,49.64,Gujarat-Viramgam -39,1.0
3,Amarsinh Anadaji Thakor,Aam Aadmi Party,47072,376,47448,23.75,Gujarat-Viramgam -39,2.0
2,Bharwad Lakhabhai Bhikhabhai,Indian National Congress,42412,312,42724,21.39,Gujarat-Viramgam -39,3.0
15,Nota,None of the Above,3240,13,3253,1.63,Gujarat-Viramgam -39,4.0
14,Hardikkumar Jagdishchandra Patel,Independent,1217,1,1218,0.61,Gujarat-Viramgam -39,5.0
8,Kirit Rathod,Independent,957,20,977,0.49,Gujarat-Viramgam -39,6.0
5,Chetanji Meruji Thakor,Garvi Gujarat Party,963,1,964,0.48,Gujarat-Viramgam -39,7.0
13,Ko.Pa.Sukhabhai Karmanbhai,Independent,963,0,963,0.48,Gujarat-Viramgam -39,8.0
4,Ashok Mahendraprasad Nimbark (Maharaj),Gujarat Nav Nirman Sena,732,2,734,0.37,Gujarat-Viramgam -39,9.0
12,Virambhai Talpadakoli,Independent,479,0,479,0.24,Gujarat-Viramgam -39,10.0
11,Mirza Abid Alibhai,Independent,451,5,456,0.23,Gujarat-Viramgam -39,11.0
9,Devipujak Rajeshbhai Laghrabhai,Independent,407,0,407,0.2,Gujarat-Viramgam -39,12.0
10,Mahendra K Chauhan (Mama),Independent,387,8,395,0.2,Gujarat-Viramgam -39,13.0
7,Nareshbhai Rajabhai Bhamani,Vyavastha Parivartan Party,371,0,371,0.19,Gujarat-Viramgam -39,14.0
6,Trentiya Rakeshkumar Arvindbhai,Pachchasi Parivartan Samaj Party,210,0,210,0.11,Gujarat-Viramgam -39,15.0
4,Bhupendrabhai Gandubhai Bhayani,Aam Aadmi Party,65675,535,66210,45.18,Gujarat-Visavadar -87,1.0
3,Harshadkumar Madhavjibhai Ribadiya,Bharatiya Janata Party,58771,376,59147,40.36,Gujarat-Visavadar -87,2.0
1,Karashanbhai Naranbhai Vadadoriya,Indian National Congress,16781,182,16963,11.57,Gujarat-Visavadar -87,3.0
2,Vaghela Mansukhbhai Nathabhai,Bahujan Samaj Party,1807,35,1842,1.26,Gujarat-Visavadar -87,4.0
6,Nota,None of the Above,1754,11,1765,1.2,Gujarat-Visavadar -87,5.0
5,Ikbalbhai Habibbhai Sama,Independent,630,5,635,0.43,Gujarat-Visavadar -87,6.0
1,Rushikesh Ganeshbhai Patel,Bharatiya Janata Party,87803,553,88356,55.11,Gujarat-Visnagar -22,1.0
2,Kiritbhai Ishvarbhai Patel,Indian National Congress,53231,720,53951,33.65,Gujarat-Visnagar -22,2.0
3,Jayantilal Mohanlal Patel (Advocate),Aam Aadmi Party,12450,381,12831,8.0,Gujarat-Visnagar -22,3.0
11,Nota,None of the Above,2305,20,2325,1.45,Gujarat-Visnagar -22,4.0
10,Parmar Vijaykumar Kodarbhai,Independent,775,1,776,0.48,Gujarat-Visnagar -22,5.0
4,Thakor Vishnuji Nenaji (Master),Right to Recall Party,577,3,580,0.36,Gujarat-Visnagar -22,6.0
9,Patel Upendrakumar Shankarlal,Independent,478,0,478,0.3,Gujarat-Visnagar -22,7.0
5,Prajapati Jagdish Kumar Bhikhabhai,Bhartiya Jan Parishad,417,4,421,0.26,Gujarat-Visnagar -22,8.0
8,Thakor Shankarji Mafaji,Independent,249,4,253,0.16,Gujarat-Visnagar -22,9.0
7,Khokhar Abdulrashid Shermohmad,Independent,209,1,210,0.13,Gujarat-Visnagar -22,10.0
6,Thakor Sanjayji Amratji,Rashtriya Hind Ekta Dal,153,1,154,0.1,Gujarat-Visnagar -22,11.0
1,Kokani Mohanbhai Dhedabhai,Bharatiya Janata Party,69024,609,69633,40.67,Gujarat-Vyara -171,1.0
4,Bipinchandra Khushalbhai Chaudhari,Aam Aadmi Party,46264,1249,47513,27.75,Gujarat-Vyara -171,2.0
2,Gamit Punabhai Dhedabhai,Indian National Congress,45224,680,45904,26.81,Gujarat-Vyara -171,3.0
8,Nota,None of the Above,3756,23,3779,2.21,Gujarat-Vyara -171,4.0
3,Rakeshbhai Sureshbhai Gamit,Bahujan Samaj Party,1281,10,1291,0.75,Gujarat-Vyara -171,5.0
7,Jimikumar Rajenbhai Patel,Independent,1196,22,1218,0.71,Gujarat-Vyara -171,6.0
5,Sunilbhai Nagajibhai Gamit,Bhartiya Tribal Party,1113,23,1136,0.66,Gujarat-Vyara -171,7.0
6,Umedbhai Bhimsingbhai Gamit,Independent,738,12,750,0.44,Gujarat-Vyara -171,8.0
2,Jagdishbhai Prabhubhai Makwana,Bharatiya Janata Party,104451,1452,105903,60.11,Gujarat-Wadhwan -62,1.0
6,"""Bajrang"" Hitendrakumar Bhagvanajibhai Patel",Aam Aadmi Party,39262,1152,40414,22.94,Gujarat-Wadhwan -62,2.0
1,Gadhvi Tarunbhai Biharidan,Indian National Congress,22009,376,22385,12.71,Gujarat-Wadhwan -62,3.0
12,Nota,None of the Above,2795,80,2875,1.63,Gujarat-Wadhwan -62,4.0
3,Solanki Pravinbhai Motibhai,Bahujan Samaj Party,969,36,1005,0.57,Gujarat-Wadhwan -62,5.0
11,Katiya Salimbhai Harunbhai,Independent,871,5,876,0.5,Gujarat-Wadhwan -62,6.0
7,Parmar Balvantray Lagharbhai,Independent,750,2,752,0.43,Gujarat-Wadhwan -62,7.0
9,Bhavanbhai Devjibhai Vora,Independent,517,7,524,0.3,Gujarat-Wadhwan -62,8.0
10,Satrotiya Vinodbhai Babubhai,Independent,477,5,482,0.27,Gujarat-Wadhwan -62,9.0
8,Vaghela Tulshibhai Shivabhai,Independent,411,14,425,0.24,Gujarat-Wadhwan -62,10.0
5,Satvara Chohan Jayesh Laljibhai Patrakar,Vyavastha Parivartan Party,302,4,306,0.17,Gujarat-Wadhwan -62,11.0
4,Chavda Nileshbhai Mansukhbhai,Rashtra Nirman Party,213,8,221,0.13,Gujarat-Wadhwan -62,12.0
1,Jitendra Kantilal Somani,Bharatiya Janata Party,80226,451,80677,39.75,Gujarat-Wankaner -67,1.0
3,Mahmadjavid Abdulmutlib Pirzada,Indian National Congress,60383,339,60722,29.92,Gujarat-Wankaner -67,2.0
5,Vikram Sorani,Aam Aadmi Party,53110,375,53485,26.35,Gujarat-Wankaner -67,3.0
14,Nota,None of the Above,2446,27,2473,1.22,Gujarat-Wankaner -67,4.0
4,Ajadia Prakash Naranbhai,Rashtriya Jankranti Party,1755,2,1757,0.87,Gujarat-Wankaner -67,5.0
2,Bhupendra Kanubhai Sagthiya,Bahujan Samaj Party,932,7,939,0.46,Gujarat-Wankaner -67,6.0
13,Hinaben Pravinbhai Raiyani,Independent,537,1,538,0.27,Gujarat-Wankaner -67,7.0
11,Rameshbhai Lavajibhai  Dabhi,Independent,524,0,524,0.26,Gujarat-Wankaner -67,8.0
12,Vallabhbhai Karsanbhai  Vaghela,Independent,426,1,427,0.21,Gujarat-Wankaner -67,9.0
10,Merambhai Karmanbhai  Varu,Independent,414,0,414,0.2,Gujarat-Wankaner -67,10.0
8,Navinbhai Amrutbhai Vora,Independent,338,4,342,0.17,Gujarat-Wankaner -67,11.0
6,Jeeteshbhai Rupabhai Santola,Independent,287,0,287,0.14,Gujarat-Wankaner -67,12.0
9,Mahebubbhai Jamalbhai Piparavaiya,Independent,194,0,194,0.1,Gujarat-Wankaner -67,13.0
7,Narendra Virabhai Dengada,Independent,193,0,193,0.1,Gujarat-Wankaner -67,14.0
